id,text,label
1520835097028608000,"RT @ErinInTheMorn: Oklahoma's House passes SB615 after piling on new transphobic things into it.

As it stands now, it is a harsh ""Don't sa…",1
1520835159288864769,"RT @ResisterSis20: America goes to the polls in 191 days! 

Equality, Justice, &amp; #LGBTQ rights are on the ballot. A woman’s right to choose…",1
1520835159871954945,RT @Noah_Villaverde: Kevin Feige emphasizes that having Xochitl Gomez's America Chavez LGBTQ+ representation was necessary in staying true…,1
1520835168365338625,@Bored_Insomniac @Flipper65 @Brent_Johnson14 @GeorgeTakei They know “don’t say gay” represents the intent of the bill and that it is a phrase with is polling very badly for the GOP.,1
1520835169112174593,"RT @tfjshi: i loved how they changed the script here cz in the novel, porsche was shocked when he knew kinn is gay and couldn't stop thinki…",1
1520835172215758849,RT @sixfeetgolden: lmao thinking about the day i watched the Oil and Water episode and i didn't have friends who watched Arcane so i spamme…,1
1520835172987379713,"#31DaysWithSejeong

Day 21: What drama role would like her to do

Main role lesbian :)

Nothing, it's just that I was strongly influenced by Hana's role in My Fuxxxxx Romance :)))

#KimSeJeong
#Sejeong
#김세정 https://t.co/tquMtWxOBm",1
1520835174644301824,"""i dont want to go to work i just want to stay home and draw my gay little flowers"" - lexi",1
1520835175642320897,"RT @CathyPegau: To anyone who thinks trans youth are a new thing or a ""fad"" or that kids are being groomed, there have ALWAYS been transgen…",1
1520835175885807617,"RT @LTF_01: Foucault: You ever notice how Frederick the Great started making schools like military camps?

Paglia: Michaelangelo was gay. L…",1
1520835176913424385,"RT @PlaceSteph: We are delighted to have been nominated for the 2022 National Diversity Awards, in the LGBT+ Organisation Section. 

Please…",1
1520835177206874113,"@BarbraWasHere @jsales43 @gelliottmorris Again... in 2008 his campaign did not support LGBTQ issues, but switched his platform during the primaries to help him against Clinton, originally he language didn't support modern LGBTQ issues... I mean, 2009 was literally after he was elected, not back in 2008...",1
1520835177890648065,RT @J4RGYLE: The biggest reason why i dont believe tumblr bylers when they say mike doesnt like eleven and hes repressing being gay is how…,1
1520835179077545984,"Woke up in bed with two guys, panicked, remembered they’re my roommates gay friends who passed out in my bed while I was reading everyone’s palms and I felt too bad to wake them up.",1
1520835179316748289,bts and svt are gay guys can’t we all just get along? gay pride am i right… GUYS https://t.co/uL1D8ICg34,1
1520835179727802371,RT @popetheking: Kevin Feige discusses the #LGBTQ &amp; how important it is to America Chavez character. Wanted to make sure to highlight all a…,1
1520835179945893890,"RT @ResisterSis20: America goes to the polls in 191 days! 

Equality, Justice, &amp; #LGBTQ rights are on the ballot. A woman’s right to choose…",1
1520835184949608448,"RT @hitsradiouk: 'I think that there's not enough bisexual representation in mainstream media' - @kit_connor👏

#Heartstopper is out on Netf…",1
1520835185008332808,"RT @AnneComics: Just for the record with how cool DC’s done with Pride stuff, we now officially have members of the LGBTQ community in ever…",1
1520835188489691136,"RT @ShiniestNixon: The girl with the shiniest wizard~

🏴󠁧󠁢󠁷󠁬󠁳󠁿Bisexual
🏴󠁧󠁢󠁷󠁬󠁳󠁿Submissive
🏴󠁧󠁢󠁷󠁬󠁳󠁿No Limits
🏴󠁧󠁢󠁷󠁬󠁳󠁿Send Starters
🏴󠁧󠁢󠁷󠁬󠁳󠁿Ships…",1
1520835189496336384,RT @christineburns: Shon is no longer here on Twitter so I guess it falls to the rest of us to tell you that her best-selling book ‘The Tra…,1
1520835190758723590,"falling is so gay tbh.. like who are you falling for, other women??",0
1520835192482639872,@natalieiwood This is a photo-op. You complain about the gay movement which I don't disagree but turning men into these narrow stereotypes is unhealthy as well. And Tefillan some interpretations (Karaites) claim it wasn' literal. This is the ultimate of identity politic ghetto religion.,1
1520835194898587648,"@RepStefanik Gay in Florida. 

Disney’s right to political expression. 

Democrats right to have 81 million votes and a clear electoral victory counted for a PEACEFUL transfer of power.",1
1520835195246563329,“i fell for him bc he’s gay” BRUH #LetsTalkSapphic,1
1520835200640589826,RT @ChevyGuy666: Ofsted finds book in Muslim school calling for gay people to be killed https://t.co/7zI0Lc9lxL via @MailOnline,0
1520835200699318277,@_kierin @the_slan chapter 1: they were all secretly gay for each other,1
1520835202498523136,"@FoxNews Rachel Levine and his kind in my opinion is nothing but a perverted old man that would like nothing more than to pervert and persuade young children to his sickness. Let’s call it what it is, perversion! Just like story time with transgender’s with children. Persuasive Perversion",0
1520835202888585216,"RT @s0upywater: okay, was anybody gonna tell me liushen week exists during pride month or did I had to go on Twitter to find out this thing…",1
1520835205019598848,"RT @chanchanin616: kids are wondering why we elder gays are hypersexualized~

if you look at those ""this was my heartstopper memes"" from ol…",1
1520835205963071488,RT @abdussalaamXRP: One of my friends is a primary school teacher. A Muslim kid told some teacher he has 2 mummies. The school got excited…,0
